Dấu thời gian,"Câu 1. Trong 7 ngày gần nhất, bạn đã bao nhiêu lần cần tìm lại deadline, link nộp bài, cách nộp hoặc lịch học của khóa?",Câu 2. Lần gần nhất bạn cần tìm một thông tin như vậy là thông tin gì?,"Câu 3. Lần đó, bạn đã làm gì đầu tiên để tìm thông tin?",Câu 4. Bạn mất khoảng bao lâu để tìm được câu trả lời mà bạn cảm thấy đủ chắc chắn?,Câu 5. Bạn có phải mở hoặc kiểm tra nhiều hơn một nguồn trước khi tin câu trả lời không?,"Câu 6. Trong 1 tháng gần nhất, bạn có từng gặp hai thông báo hoặc hai câu trả lời khác nhau về cùng một deadline, link hoặc cách nộp không?","Câu 7. Nếu đã từng gặp thông tin mâu thuẫn, lần gần nhất bạn đã xử lý như thế nào?","Câu 8. Trong 1 tháng gần nhất, bạn có từng phải hỏi lại TA hoặc bạn học chỉ để xác nhận một thông tin logistics không?",Câu 9. Bạn từng gặp hậu quả nào vì không tìm được hoặc hiểu sai thông tin logistics?,"Câu 10. Khi nhận một câu trả lời về deadline từ chatbot hoặc AI, điều gì khiến bạn tin câu trả lời đó nhất?","Câu 11. Nếu hệ thống không tìm thấy nguồn chính thức rõ ràng, bạn muốn nó làm gì?","Câu 12. Hãy kể ngắn gọn lần gần nhất bạn mất thời gian hoặc bối rối vì deadline, link hoặc cách nộp của khóa."
16/09/2026 19:08:11,3–5 lần,Cách nộp bài,Tìm trong tài liệu hoặc slide,5–10 phút,"Có, thường phải kiểm tra 2 nguồn",1 lần,,3–5 lần,Nộp bài muộn,Có trích đoạn từ nguồn chính thức,Đưa ra câu trả lời dự đoán nhưng có cảnh báo,
16/09/2026 19:08:14,6–10 lần,Lịch học,Tìm trên LMS / hệ thống học tập,5–10 phút,"Có, thường phải kiểm tra từ 3 nguồn trở lên",Trên 3 lần,,1–2 lần,"Phải hỏi lại nhiều người, Nộp bài sai chỗ, Nộp bài muộn",Có link dẫn tới nguồn chính thức,Báo rằng chưa chắc chắn và chuyển câu hỏi cho TA,
16/09/2026 19:08:29,6–10 lần,Lịch học,Hỏi bạn học,5–10 phút,"Có, thường phải kiểm tra 2 nguồn",2–3 lần,,3–5 lần,"Nộp bài sát deadline, Nộp bài muộn, Chưa từng gặp vấn đề",Có nhiều người đưa ra cùng một câu trả lời,Đưa ra câu trả lời dự đoán nhưng có cảnh báo,
16/09/2026 19:08:53,3–5 lần,Link nộp bài,Tìm trong tài liệu hoặc slide,5–10 phút,"Có, thường phải kiểm tra 2 nguồn",1 lần,,3–5 lần,"Phải hỏi lại nhiều người, Nộp bài sát deadline, Lo lắng vì không chắc thông tin",Có nhiều người đưa ra cùng một câu trả lời,Vẫn đưa ra câu trả lời gần đúng,
16/09/2026 19:08:57,1–2 lần,Lịch học,Tìm lại trong Discord / nhóm chat,1–5 phút,"Có, thường phải kiểm tra từ 3 nguồn trở lên",1 lần,,Chưa từng,Chưa từng gặp vấn đề,Có xác nhận của TA / BTC,Báo rằng chưa chắc chắn và chuyển câu hỏi cho TA,
16/09/2026 19:08:58,Trên 10 lần,Link nộp bài,Tìm trong tài liệu hoặc slide,Trên 20 phút,"Có, thường phải kiểm tra từ 3 nguồn trở lên",2–3 lần,,1–2 lần,"Mất thời gian tìm kiếm, Phải hỏi lại nhiều người, Nộp bài sai chỗ, Nộp bài muộn",Có trích đoạn từ nguồn chính thức,Báo rằng chưa chắc chắn và chuyển câu hỏi cho TA,
16/09/2026 19:09:20,6–10 lần,Lịch học,Hỏi bạn học,Trên 20 phút,"Có, thường phải kiểm tra từ 3 nguồn trở lên",2–3 lần,,3–5 lần,"Nộp bài muộn, Lo lắng vì không chắc thông tin, Chưa từng gặp vấn đề",AI trả lời rõ ràng và tự tin,Vẫn đưa ra câu trả lời gần đúng,
16/09/2026 19:09:33,3–5 lần,Deadline,Tìm trên LMS / hệ thống học tập,Trên 20 phút,"Có, thường phải kiểm tra 2 nguồn",Trên 3 lần,,3–5 lần,"Mất thời gian tìm kiếm, Nộp bài sát deadline, Nộp bài sai chỗ, Chưa từng gặp vấn đề",Có xác nhận của TA / BTC,Hỏi thêm thông tin để làm rõ câu hỏi,
16/09/2026 19:09:39,1–2 lần,Yêu cầu của bài tập,Tìm trên LMS / hệ thống học tập,1–5 phút,"Có, thường phải kiểm tra từ 3 nguồn trở lên",Trên 3 lần,,Chưa từng,"Nộp bài sát deadline, Nộp bài sai chỗ, Nộp bài muộn",Có xác nhận của TA / BTC,Báo rằng chưa chắc chắn và chuyển câu hỏi cho TA,
16/09/2026 19:09:43,3–5 lần,Yêu cầu của bài tập,Hỏi ChatGPT hoặc công cụ AI,Trên 20 phút,"Có, thường phải kiểm tra từ 3 nguồn trở lên",2–3 lần,,3–5 lần,"Mất thời gian tìm kiếm, Nộp bài sát deadline, Lo lắng vì không chắc thông tin",Có link dẫn tới nguồn chính thức,Báo rằng chưa chắc chắn và chuyển câu hỏi cho TA,
16/09/2026 19:10:38,6–10 lần,Link nộp bài,Tìm trong tài liệu hoặc slide,10–20 phút,"Có, thường phải kiểm tra 2 nguồn",Trên 3 lần,,3–5 lần,"Phải hỏi lại nhiều người, Nộp bài sai chỗ, Nộp bài muộn, Lo lắng vì không chắc thông tin",Có xác nhận của TA / BTC,Báo rằng chưa chắc chắn và chuyển câu hỏi cho TA,
16/09/2026 19:10:44,6–10 lần,Link nộp bài,Tìm lại trong Discord / nhóm chat,10–20 phút,"Có, thường phải kiểm tra từ 3 nguồn trở lên",2–3 lần,,1–2 lần,"Mất thời gian tìm kiếm, Nộp bài sát deadline, Nộp bài sai chỗ, Nộp bài muộn",Có link dẫn tới nguồn chính thức,Báo rằng chưa chắc chắn và chuyển câu hỏi cho TA,
